County Code,County Name,pct_met_ELA,pct_met_Math,frpm_pct_free,COUNTYFIP_3,median_income,poverty_rate,pct_bachelors_plus,pct_foodstmp,homeownership_rate,median_house_value,pct_welfare
01,Alameda,56.16,48.15,40.91,001,193855.42793191975,0.10375486534422121,0.38441515989806235,0.1040602200958561,0.5702500795254819,1130251.0149667163,0.021908523223412062
04,Butte,46.38,33.23,54.39,007,109947.53730136408,0.17990957304742647,0.22357300927162424,0.17788274439601495,0.5938284749984932,482265.5198078419,0.024477570833476778
07,Contra Costa,51.98,42.02,38.35,013,189351.20501196524,0.08353635064857896,0.32722429904127603,0.10004399441279704,0.6795005708670463,990350.4688977294,0.014254587650158239
09,El Dorado,57.75,46.07,28.91,017,165400.94913990493,0.08696512233211869,0.2925351379489849,0.06708198851490128,0.772462151057338,749343.0941004121,0.014497775522705756
10,Fresno,46.44,34.09,60.99,019,105361.66552762373,0.1887703357511847,0.15625883464703916,0.2536785948053107,0.5618701321783508,438186.68840766634,0.028744506014569928
12,Humboldt,42.54,31.92,56.15,023,99642.090238361,0.17348958102580006,0.23967332713068393,0.19679798800779033,0.589933581906413,499017.706418325,0.018373048192032507
13,Imperial,41.59,27.11,67.54,025,87272.8281319571,0.22227241294697628,0.1034263534765442,0.30284061391637856,0.5792147338595426,344647.7433406711,0.02782018040390023
15,Kern,39.94,24.26,67.18,029,99212.86207760056,0.18666953669221503,0.11799319320726454,0.22770228625081365,0.5963455839505719,392706.71829071466,0.024296315527574046
16,Kings,46.38,31.99,66.6,031,90274.23601421018,0.22516923759849072,0.09181588515996789,0.2016403526758253,0.5452968374050581,343497.7564457231,0.029123020090076415
19,Los Angeles,50.51,39.25,62.85,037,135830.01065456856,0.13882976460042132,0.2600911611391903,0.15853444835965722,0.49417950656656123,917557.4397245123,0.022564087977973386
20,Madera,36.53,23.15,71.13,039,103120.6564404511,0.1961868806040585,0.11248702218027372,0.26011745354195837,0.6305533405479296,430411.5508383673,0.02820481585251959
21,Marin,61.82,53.74,31.19,041,252392.65283890438,0.08571031404333203,0.45571614467694044,0.05283058165709388,0.6526618716883567,1637841.333022135,0.012471053426450532
24,Merced,36.85,23.94,70.42,047,96454.5338267039,0.17592333519865697,0.09721250699496363,0.23484552728430486,0.5249560918241816,440791.2953764978,0.025903498212759703
28,Napa,44.91,30.19,49.23,055,170995.9261523655,0.0991242944073756,0.2873826459081133,0.07173810214077544,0.6508153138583633,968738.6651797619,0.012452399417900432
30,Orange,58.89,49.21,45.65,059,166993.1692998593,0.09799882999868209,0.3156927137867684,0.09563458720078163,0.5701354842791923,1011836.4495853862,0.014251710584060719
31,Placer,60.95,51.52,29.85,061,167688.54766143917,0.07271047481867848,0.3156194757862116,0.06215462422371797,0.7564155041874364,742800.8425847233,0.01255992160011335
33,Riverside,44.32,29.78,60.78,065,125718.51300650467,0.113587518255115,0.17216833021651515,0.14192508597373932,0.6959364192979617,556221.9554536787,0.01794490099716552
34,Sacramento,45.78,34.66,55.04,067,126533.71722831673,0.12189755947238935,0.2382431838503857,0.17120554894279527,0.6030614068985822,574413.8632819353,0.025245695692376117
36,San Bernardino,42.66,29.2,63.23,071,114163.63744163647,0.13617251516371512,0.15443889113062617,0.18366392821368313,0.6258706868791173,521444.9560059042,0.02236248276630089
37,San Diego,53.57,41.86,44.14,073,150453.1432961202,0.11828284175854567,0.30357781404407147,0.1108082404437446,0.564397833375303,892651.0678664892,0.01709132021932223
38,San Francisco,52.77,45.06,49.87,075,233080.5707275314,0.11788890683222383,0.5065343644769817,0.11715798445333926,0.4483061196228268,1564977.168965159,0.020067595541616717
39,San Joaquin,40.57,29.87,57.76,077,124058.36770649026,0.12653594472503446,0.14527834276674462,0.19530560000843653,0.6106435820348453,560019.7986525344,0.017571649060394733
40,San Luis Obispo,54.21,40.75,42.96,079,142449.26193205404,0.158812200855306,0.27786470871449204,0.07848579080761418,0.6253793922868643,828637.7916075485,0.011875669350270221
41,San Mateo,58.38,51.32,30.89,081,247798.03617238396,0.06561181689613074,0.4069767285689151,0.060826285246318286,0.6163112291836205,1692669.3351156113,0.01237434808547217
42,Santa Barbara,40.74,30.15,60.05,083,146541.46819121673,0.15949520716509152,0.2410554350635486,0.13248151874773148,0.5113795212301241,992837.229079761,0.015104232713799738
43,Santa Clara,59.82,53.15,32.09,085,240958.98333278563,0.07931893338711779,0.4086567753700832,0.07129619185097633,0.576879225078131,1479674.7104906933,0.013332328012525114
44,Santa Cruz,43.7,32.82,47.52,087,179623.70797552745,0.14623450190385084,0.31051338322735544,0.12832048462227752,0.5916838792363498,1059038.0382077845,0.014207887079799418
45,Shasta,48.55,37.13,50.54,089,112460.1295447725,0.12846080875377794,0.16802709082485826,0.1574026885921698,0.6672764837600129,414422.20838414505,0.021890105752875765
48,Solano,40.83,29.57,46.51,095,136861.75530301064,0.10643761013044771,0.19785309430495204,0.12738736123876723,0.62541434378561,619821.31917462,0.01884205525011878
