county_code,county_name,county_fips,ela_pct_met_above,math_pct_met_above,avg_pct_met_above
21,Marin,041,61.91838927991337,53.85642837910609,57.88740882950973
43,Santa Clara,085,59.83728307779427,53.16626905060928,56.50177606420178
31,Placer,061,60.971398254711026,51.56034245712991,56.26587035592047
41,San Mateo,081,58.43018938408795,51.37442116402116,54.902305274054555
30,Orange,059,58.910704488519194,49.22323043418459,54.066967461351894
01,Alameda,001,56.18267045615762,48.16724974370068,52.17496009992915
09,El Dorado,017,57.81330404109165,46.1129869487227,51.963145494907174
38,San Francisco,075,52.78105101126222,45.069701082753284,48.92537604700775
53,Trinity,105,52.315953678474116,44.36597527472527,48.340964476599694
37,San Diego,073,53.58476622900067,41.877444406230865,47.73110531761577
40,San Luis Obispo,079,54.254485007313505,40.781594853744394,47.51803993052895
07,Contra Costa,013,52.00539236094868,42.04683388215511,47.0261131215519
19,Los Angeles,037,50.5240353316964,39.26558676334464,44.89481104752052
45,Shasta,089,48.78168659393216,37.29943610426469,43.040561349098425
29,Nevada,057,49.2712303912304,35.70777315689981,42.489501774065104
57,Yolo,113,47.63112253814613,37.050431086418094,42.340776812282115
56,Ventura,111,47.606519710220596,35.26870361328125,41.43761166175092
10,Fresno,019,46.48934877842502,34.12985310145477,40.3096009399399
34,Sacramento,067,45.783856854676024,34.66381963097278,40.2238382428244
04,Butte,007,46.54868345813479,33.323716386411604,39.9361999222732
49,Sonoma,097,45.377386356569865,33.464410226252745,39.420898291411305
16,Kings,031,46.4296524603388,32.0371065887568,39.2333795245478
26,Mono,051,44.28682651622003,32.86927576601671,38.57805114111837
44,Santa Cruz,087,43.73872951258704,32.846943553559974,38.29283653307351
46,Sierra,091,45.449893048128345,31.015294117647063,38.2325935828877
51,Sutter,101,44.48566653801621,31.89684858212948,38.19125756007284
55,Tuolumne,109,44.874583038869254,30.53487658674189,37.704729812805574
28,Napa,055,44.93929349550502,30.24087750603549,37.59008550077026
12,Humboldt,023,42.617747832200614,31.983818545540124,37.30078318887037
33,Riverside,065,44.32966953805159,29.79027195166119,37.059970744856386
36,San Bernardino,071,42.673655725160884,29.20776873569514,35.94071223042801
35,San Benito,069,42.82786426503699,28.599503534704375,35.71368389987069
42,Santa Barbara,083,40.75299709223897,30.182563636363636,35.467780364301305
48,Solano,095,40.882715769407746,29.617956170854928,35.25033597013134
39,San Joaquin,077,40.59275113439796,29.89187268023844,35.2423119073182
54,Tulare,107,42.27099347449727,27.64961502738973,34.960304250943494
13,Imperial,025,41.603350312828745,27.137830953299886,34.37059063306432
50,Stanislaus,099,39.86288949442132,26.85232784006731,33.357608667244314
14,Inyo,027,35.97293288590604,29.336168608636054,32.654550747271045
18,Lassen,035,39.53352909189777,25.08176663031625,32.30764786110701
15,Kern,029,39.943609889410226,24.26198955078125,32.10279972009574
22,Mariposa,043,36.7744623655914,26.883279569892473,31.828870967741935
58,Yuba,115,38.44246525237747,25.026066950699942,31.734266101538704
32,Plumas,063,37.772164412070765,24.48169791666667,31.126931164368717
27,Monterey,053,37.24079832047333,24.618730993359534,30.929764656916433
47,Siskiyou,093,35.31698501872659,26.220847711927988,30.76891636532729
52,Tehama,103,35.55154527381167,25.736741369962044,30.644143321886858
24,Merced,047,36.87403411148794,23.971293210888817,30.422663661188377
02,Alpine,003,35.48,25.0,30.24
20,Madera,039,36.53859186568929,23.160316702052373,29.849454283870834
03,Amador,005,35.832115384615385,23.52536092882383,29.678738156719607
06,Colusa,011,35.955865754595976,23.35301148447469,29.654438619535334
05,Calaveras,009,34.38230799840828,23.29627251370399,28.839290256056135
25,Modoc,049,33.478037518037524,21.964104046242777,27.721070782140153
08,Del Norte,015,34.01692495126706,21.13282576866764,27.57487535996735
11,Glenn,021,32.104525392986694,21.861041854862993,26.982783623924846
23,Mendocino,045,32.29957507987221,19.879272495213783,26.089423787542998
17,Lake,033,26.164332298136642,15.972089494163423,21.068210896150035
